Best parameters: {'learning_rate': 1000, 'max_depth': 10, 'n_estimators': 2}
0.301 (+/-0.179) for {'learning_rate': 100000, 'max_depth': 16, 'n_estimators': 10}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 22, 'n_estimators': 1}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 22, 'n_estimators': 2}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 22, 'n_estimators': 4}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 22, 'n_estimators': 6}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 22, 'n_estimators': 8}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 22, 'n_estimators': 10}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 28, 'n_estimators': 1}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 28, 'n_estimators': 2}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 28, 'n_estimators': 4}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 28, 'n_estimators': 6}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 28, 'n_estimators': 8}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 28, 'n_estimators': 10}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 36, 'n_estimators': 1}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 36, 'n_estimators': 2}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 36, 'n_estimators': 4}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 36, 'n_estimators': 6}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 36, 'n_estimators': 8}
0.302 (+/-0.177) for {'learning_rate': 100000, 'max_depth': 36, 'n_estimators': 10}
